"publisher_id","publisher_name"
"213","財団法人 日本近代文学館"
"214","阪急電鉄"
"215","作品社"
"216","札幌・北書房"
"217","三一書房"
"218","三修社"
"219","三省堂"
"220","三省堂書店"
"221","三田文学会"
"222","三田文學會"
"223","三島霜川選集刊行会"
"224","山と渓谷社"
"225","山と溪谷社"
"226","山渓山岳新書、山と渓谷社"
"227","山手書房新社"
"228","史誌出版社"
"229","四季社"
"230","思潮社"
"231","時事新報社"
"232","示人社"
"233","而立書房"
"234","自然科學叢書、越山堂"
"235","実業之日本社"
"236","主婦之友社"
"237","宗祖降誕会本部"
"238","修道社"
"239","集英社"
"240","集英社文庫、集英社"
"241","十字屋書店"
"242","春秋社"
"243","春陽堂"
"244","春陽堂書店"
"245","春陽堂少年少女文庫、春陽堂"
"246","春陽文庫、春陽堂書店"
"247","書物展望社"
"248","書肆山田"
"249","小学館"
"250","小学館文庫、小学館"
"251","小山書店"
"252","小石川書房"
"253","小峰書店"
"254","少年倶楽部文庫、講談社"
"255","少年少女日本文学館第十五巻、講談社"
"256","尚学図書"
"257","彰考書院"
"258","昭森社"
"259","昭和出版社"
"260","晶文社"
"261","松本市教育会"
"262","常陽新聞社"
"263","新学社"
"264","新学社文庫、新学社"
"265","新詩社"
"266","新宿書房"
"267","新人物往来社"
"268","新世社"
"269","新声社"
"270","新泉社"
"271","新潮社"
"272","新潮社、新潮文庫"
"273","新潮文庫"
"274","新潮文庫・新潮社"
"275","新潮文庫、新潮社"
"276","新日本出版"
"277","新日本出版社"
"278","新日本文庫"
"279","新日本文庫、新日本出版"
"280","新日本文庫、新日本出版社"
"281","真善美研究所"
"282","人間の記録、日本図書センター"
"283","世界文学社"
"284","世界文庫"
"285","生活社"
"286","青い鳥文庫、講談社"
"287","青蛙房"
"288","青幻舎"
"289","青樹社文庫、青樹社"
"290","青土社"
"291","青銅社"
"292","青年英文学叢書、三省堂書店【近代デジタルライブラリー利用】"
"293","青木書店"
"294","青鞜社"
"295","石井氏還暦記念講演会"
"296","石原莞爾全集刊行会"
"297","石川近代文学館"
"298","先鋭疾風社"
"299","川柳久良伎全集刊行會"
"300","全日本無産者藝術聯盟本部"
"301","創元ライブラリ、東京創元社"
"302","創元社"
"303","創元推理文庫、創元社"
"304","創元推理文庫、東京創元社"
"305","創樹社"
"306","双葉文庫、双葉社"
"307","叢書ビブリオムジカ、アルテスパブリッシング"
"308","叢書名著の復興14、新泉社"
"309","早稲田文学社"
"310","早川書房"
"311","早川文庫、早川書房"
"312","相模書房"
"313","草土文化"
"314","草風館"
"315","増進会出版社"
"316","村山書店"
"317","大空社"
"318","大阪屋號書店"
"319","大阪新聞東京支社"
"320","大阪朝日新聞社"
"321","大阪毎日新聞社"
"322","大修館書店"
"323","大衆文学館、講談社"
"324","大植物圖鑑刊行會【近代デジタルライブラリー利用】"
"325","大槻文彦"
"326","大東出版社"
"327","大日本図書"
"328","大日本雄辯會講談社"
"329","大分合同新聞社"
"330","大雄閣"
"331","大陸書房"
"332","大和出版"
"333","大和書房"
"334","第一書房"
"335","第三書館"
"336","短歌新聞社"
"337","短歌新聞社文庫、短歌新聞社"
"338","池田菊苗博士追憶会"
"339","池田書店"
"340","築地書館"
"341","竹村書房"
"342","筑波書林"
"343","筑摩書房"
"344","筑摩叢書、筑摩書房"
"345","中央公論社"
"346","中央公論新社"
"347","中央公論美術出版"
"348","中央出版社"
"349","中央書院"
"350","中公クラシックス、中央公論新社"
"351","中公バックス、中央公論社"
"352","中公文庫、中央公論社"
"353","中公文庫、中央公論新社"
"354","中山書店"
"355","朝日ソノラマ"
"356","朝日新聞社"
"357","朝日新聞東京本社"
"358","潮ライブラリー、潮出版社"
"359","潮出版社"
"360","潮文庫、潮出版社"
"361","潮文社"
"362","長崎出版"
"363","長崎書店"
"364","津輕書房"
"365","帝国百科全書、東京博文館"
"366","帝國文庫、博文館"
"367","哲學館"
"368","天佑社"
"369","電波新聞社"
"370","冬樹社"
"371","嶋中書店"
"372","嶋中文庫、嶋中書店"
"373","東京書籍"
"374","東京新聞"
"375","東京創元社"
"376","東京地學協會【近代デジタルライブラリー利用】"
"377","東京美術"
"378","東西社"
"379","東方社"
"380","東洋史研究會"
"381","東洋文庫、平凡社"
"382","桃源社"
"383","藤原書店"
"384","同光社"
"385","同光社磯部書房"
"386","同文館"
"387","同朋舎出版"
"388","同和春秋社"
"389","童話屋"
"390","特選名著復刻全集近代文学館、日本近代文学館"
"391","読売新聞社"
"392","読売新聞東京本社"
"393","内外出版協會"
"394","内閣"
"395","二見書房"
"396","日英社"
"397","日高有倫堂"
"398","日本近代文学館"
"399","日本経済新聞社"
"400","日本児童文庫、復刻版、名著普及会"
"401","日本出版協同"
"402","日本少国民文庫、新潮社"
"403","日本図書センター"
"404","日本図書館協会"
"405","日本精神醫學會"
"406","日本評論社"
